Zone,Saison,s_idx,Produktion_MW,Verbrauch_MW,Imbalance_MW
Nord,Winter,0,413.4,2291.3,-1877.9
Mitte,Winter,0,3657.9,2845.9,811.9
West,Winter,0,445.5,1736.8,-1291.3
Süd,Winter,0,2155.5,638.2,1517.3
Ost,Winter,0,1557.8,398.3,1159.5
Nord,Frühling,1,648.9,2092.1,-1443.2
Mitte,Frühling,1,4188.1,2598.5,1589.6
West,Frühling,1,684.8,1585.8,-901.0
Süd,Frühling,1,3216.9,582.7,2634.2
Ost,Frühling,1,2325.3,363.7,1961.6
Nord,Sommer,2,850.6,1793.2,-942.7
Mitte,Sommer,2,4470.7,2227.2,2243.4
West,Sommer,2,871.9,1359.3,-487.3
Süd,Sommer,2,3845.9,499.5,3346.4
Ost,Sommer,2,2776.1,311.7,2464.4
Nord,Herbst,3,543.3,1992.5,-1449.2
Mitte,Herbst,3,3843.0,2474.7,1368.2
West,Herbst,3,557.2,1510.3,-953.1
Süd,Herbst,3,2473.4,554.9,1918.4
Ost,Herbst,3,1787.2,346.3,1440.8
