timestamp,price_eur_mwh,hour,month,weekday,season
2023-01-01 00:00:00+00:00,70.97,0,1,6,0
2023-01-01 01:00:00+00:00,65.67,1,1,6,0
2023-01-01 02:00:00+00:00,69.47,2,1,6,0
2023-01-01 03:00:00+00:00,67.05,3,1,6,0
2023-01-01 04:00:00+00:00,45.16,4,1,6,0
2023-01-01 05:00:00+00:00,53.42,5,1,6,0
2023-01-01 06:00:00+00:00,80.04,6,1,6,0
2023-01-01 07:00:00+00:00,84.73,7,1,6,0
2023-01-01 08:00:00+00:00,86.24,8,1,6,0
2023-01-01 09:00:00+00:00,94.32,9,1,6,0
2023-01-01 10:00:00+00:00,74.92,10,1,6,0
2023-01-01 11:00:00+00:00,65.33,11,1,6,0
2023-01-01 12:00:00+00:00,65.68,12,1,6,0
2023-01-01 13:00:00+00:00,43.94,13,1,6,0
2023-01-01 14:00:00+00:00,43.21,14,1,6,0
2023-01-01 15:00:00+00:00,54.86,15,1,6,0
2023-01-01 16:00:00+00:00,56.71,16,1,6,0
2023-01-01 17:00:00+00:00,76.37,17,1,6,0
2023-01-01 18:00:00+00:00,81.05,18,1,6,0
2023-01-01 19:00:00+00:00,85.68,19,1,6,0
2023-01-01 20:00:00+00:00,100.22,20,1,6,0
2023-01-01 21:00:00+00:00,73.1,21,1,6,0
2023-01-01 22:00:00+00:00,69.03,22,1,6,0
2023-01-01 23:00:00+00:00,55.75,23,1,6,0
2023-01-02 00:00:00+00:00,70.64,0,1,0,0
2023-01-02 01:00:00+00:00,75.67,1,1,0,0
2023-01-02 02:00:00+00:00,63.09,2,1,0,0
2023-01-02 03:00:00+00:00,65.88,3,1,0,0
2023-01-02 04:00:00+00:00,50.22,4,1,0,0
2023-01-02 05:00:00+00:00,60.96,5,1,0,0
2023-01-02 06:00:00+00:00,70.59,6,1,0,0
2023-01-02 07:00:00+00:00,101.41,7,1,0,0
2023-01-02 08:00:00+00:00,97.89,8,1,0,0
2023-01-02 09:00:00+00:00,89.52,9,1,0,0
2023-01-02 10:00:00+00:00,93.21,10,1,0,0
2023-01-02 11:00:00+00:00,67.29,11,1,0,0
2023-01-02 12:00:00+00:00,73.41,12,1,0,0
2023-01-02 13:00:00+00:00,51.56,13,1,0,0
2023-01-02 14:00:00+00:00,54.38,14,1,0,0
2023-01-02 15:00:00+00:00,68.93,15,1,0,0
2023-01-02 16:00:00+00:00,78.72,16,1,0,0
2023-01-02 17:00:00+00:00,83.22,17,1,0,0
2023-01-02 18:00:00+00:00,95.39,18,1,0,0
2023-01-02 19:00:00+00:00,102.57,19,1,0,0
2023-01-02 20:00:00+00:00,84.67,20,1,0,0
2023-01-02 21:00:00+00:00,77.15,21,1,0,0
2023-01-02 22:00:00+00:00,72.81,22,1,0,0
2023-01-02 23:00:00+00:00,83.6,23,1,0,0
2023-01-03 00:00:00+00:00,77.74,0,1,1,0
2023-01-03 01:00:00+00:00,60.67,1,1,1,0
2023-01-03 02:00:00+00:00,74.89,2,1,1,0
2023-01-03 03:00:00+00:00,59.79,3,1,1,0
2023-01-03 04:00:00+00:00,49.61,4,1,1,0
2023-01-03 05:00:00+00:00,68.18,5,1,1,0
2023-01-03 06:00:00+00:00,83.65,6,1,1,0
2023-01-03 07:00:00+00:00,94.04,7,1,1,0
2023-01-03 08:00:00+00:00,91.28,8,1,1,0
2023-01-03 09:00:00+00:00,95.51,9,1,1,0
2023-01-03 10:00:00+00:00,89.28,10,1,1,0
2023-01-03 11:00:00+00:00,84.86,11,1,1,0
2023-01-03 12:00:00+00:00,67.91,12,1,1,0
2023-01-03 13:00:00+00:00,65.76,13,1,1,0
2023-01-03 14:00:00+00:00,56.16,14,1,1,0
2023-01-03 15:00:00+00:00,57.79,15,1,1,0
2023-01-03 16:00:00+00:00,79.32,16,1,1,0
2023-01-03 17:00:00+00:00,92.7,17,1,1,0
2023-01-03 18:00:00+00:00,95.74,18,1,1,0
2023-01-03 19:00:00+00:00,113.01,19,1,1,0
2023-01-03 20:00:00+00:00,99.39,20,1,1,0
2023-01-03 21:00:00+00:00,77.75,21,1,1,0
2023-01-03 22:00:00+00:00,79.38,22,1,1,0
2023-01-03 23:00:00+00:00,87.45,23,1,1,0
2023-01-04 00:00:00+00:00,74.71,0,1,2,0
2023-01-04 01:00:00+00:00,87.29,1,1,2,0
2023-01-04 02:00:00+00:00,51.34,2,1,2,0
2023-01-04 03:00:00+00:00,69.45,3,1,2,0
2023-01-04 04:00:00+00:00,55.73,4,1,2,0
2023-01-04 05:00:00+00:00,60.9,5,1,2,0
2023-01-04 06:00:00+00:00,76.14,6,1,2,0
2023-01-04 07:00:00+00:00,70.69,7,1,2,0
2023-01-04 08:00:00+00:00,96.24,8,1,2,0
2023-01-04 09:00:00+00:00,100.84,9,1,2,0
2023-01-04 10:00:00+00:00,98.45,10,1,2,0
2023-01-04 11:00:00+00:00,72.91,11,1,2,0
2023-01-04 12:00:00+00:00,65.27,12,1,2,0
2023-01-04 13:00:00+00:00,63.23,13,1,2,0
2023-01-04 14:00:00+00:00,72.33,14,1,2,0
2023-01-04 15:00:00+00:00,69.99,15,1,2,0
2023-01-04 16:00:00+00:00,68.58,16,1,2,0
